Premier_League_team_supported,Total_Arrests,Arrests_at_Home_matches,Arrests_at_Away_matches,Other,Violent_Disorder,Public_Disorder,Missile_Throwing,Racist_or_Indecent_Chanting,Pitch_Incursion,Alcohol_Offences,Ticket_Touting,Possession_of_Offensive_Weapon,Use_or_Possession_of_Fireworks_or_Flares,Breach_of_Banning_Order,Offences_against_Property
Arsenal,67,37,28,2,4,30,1,1,3,21,3,0,2,1,1
Aston Villa,36,16,20,0,3,16,0,2,1,8,0,0,6,0,0
Cardiff City,16,1,15,0,4,6,1,0,0,4,0,0,1,0,0
Chelsea,56,31,23,2,12,14,2,0,1,15,6,3,2,1,0
Crystal Palace,19,9,8,2,3,1,1,0,8,5,0,1,0,0,0
Everton,47,8,38,1,1,19,2,0,3,12,2,1,5,0,2
Fulham,24,9,15,0,1,7,1,0,1,5,5,0,2,0,2
Hull City,21,11,10,0,2,10,0,0,0,8,0,0,1,0,0
Liverpool,58,17,39,2,15,14,1,0,4,16,2,0,4,1,1
Manchester City,71,23,48,0,10,12,1,0,2,29,2,0,8,1,6
Manchester United,112,68,43,1,13,19,3,0,1,65,3,0,5,1,2
Newcastle United,50,27,23,0,7,6,1,1,8,23,2,0,1,0,1
Norwich City,4,2,2,0,0,1,0,0,0,3,0,0,0,0,0
Southampton,14,8,6,0,1,7,1,0,1,2,0,0,1,1,0
Stoke City,47,6,41,0,2,14,0,2,0,9,0,0,19,1,0
Sunderland,62,41,21,0,3,10,0,2,17,26,1,0,1,0,2
Swansea City,9,2,7,0,5,1,1,1,0,1,0,0,0,0,0
Tottenham Hotspur,42,25,16,1,9,21,4,0,0,6,1,0,1,0,0
West Brom,31,18,12,1,7,16,0,0,1,5,0,0,1,1,0
West Ham,37,11,26,0,9,13,0,0,1,13,0,0,0,0,1
